Link;KvK/ID;Vestnr;RSIN;Vennootschapsnaam;Rechtsvorm;Hoofd/Neven;Status;SBI Hoofdact;Omschrijving (hoofdact);SBI Nevenact1;Omschrijving (nevenact1);SBI Nevenact2;Omschrijving (nevenact2);Non-Mailing;Straatnaam;Huisnr;Toevoeging huisnr;Postcode;Woonplaats;Straatnaam CA;Huisnr CA;Toevoeg huisnr CA;Postcode CA;Woonplaats CA;Gemeente;Provincie;Landcode;Tel. Netnr.;Tel. Abnnr.;Domeinnaam;Functie;Voorletters;Voorvoegsels;Achternaam;Sexe;Mobiel Nr.;Employees;Werknemers;Econ. Actief;Import;Export;Aantal Dochters;Datum Inschrijving;Datum akte oprichting;Datum opheffing;Datum oprichting;Datum voortzetting;Huidig adres;Dep. jaarstuk;Soort jaarstuk;Auditor;YearTPE;Turnover (€);Profit (€);Total assets (€);Stock exchange;Banks;Ultimate (Dutch) Parent
Linx Telecommunications B.V.;332698510000;000016248422;804085201;Linx Telecommunications B.V.;B.V.;H;Ingeschreven;6110;Draadgebonden telecommunicatie;70102;Holdings (geen financiële);70101;Concerndiensten binnen eigen concern;;Hullenbergweg;373;2hg;1101CR;AMSTERDAM;Postbus;12853;;1100AW;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5672000;www.linxtelecom.com;Bestuurder;H.H.;;Koop;M;;165;20-49;1;N;N;5;6/6/95;6/6/95;;6/6/95;;1/1/14;2013;Vastgesteld jaarstuk;PwC;2013;291.229.000;-1.276.000;50.666.000;;ABN AMRO;
AES Andres;341210800000;000019696604;808326090;AES Andres B.V.;B.V.;H;Ingeschreven;46712;GH vloeibare en gasvormige brandstoffen;4120;Algemene burgerlijke en utiliteitsbouw;;;Geactiveerd;Claude Debussylaan;14;;1082MD;AMSTERDAM;Claude Debussylaan;14;;1082MD;AMSTERDAM;Amsterdam;Noord-Holland;NL;010;2229020;;Bestuurder;E.Y.;;Rodionova;V;;91;;1;J;J;;6/17/14;9/14/99;;9/14/99;;6/16/14;2011;Vastgesteld jaarstuk;Mazars;2011;290.058.406;38.641.337;500.031.352;;;AES Global Power Holdings B.V.
RTL Nederland B.V.;321058930000;000020160267;814354427;RTL Nederland B.V.;B.V.;H;Ingeschreven;5920;Maken en uitgeven van geluidsopnamen;;;;;;Barend en Van Dorpweg;2;;1217WP;HILVERSUM;Barend en Van Dorpweg;2;;1217WP;HILVERSUM;Hilversum;Noord-Holland;NL;035;6718711;;Bestuurder;H.M.;;Habets;M;;439;200-499;1;;;;12/30/04;12/30/04;;12/30/04;;6/20/14;2014;;PwC;2012;289.284.000;57.301.000;189.367.000;;;
Bausch & Lomb B.V.;340346280000;000017026423;002288813;Bausch & Lomb B.V.;B.V.;H;Ingeschreven;46436;Groothandel in optische artikelen;46695;Groothandel in meet- en regelapparaten;46461;Groothandel in farmaceutische producten;Geactiveerd;Koolhovenlaan;110;;1119NH;SCHIPHOL-RIJK;Postbus;75774;;1118ZX;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;6554500;;Bestuurder;P.E.P.J.;;Gunther;M;;230;;1;J;J;;12/9/65;11/24/65;;11/24/65;11/7/72;5/5/01;2013;Vastgesteld jaarstuk;PwC;2013;288.763.000;-11.945.000;2.669.426.000;;ABN AMRO, Citybank, Fortis Bank, ING Bank;
Coöperat. Int. Publications Holding (IPH) UA;528346890000;000022743294;850620272;Coöperatief International Publications Holding (IPH) U.A.;Coöperatie;H;Ingeschreven;6420;Financiële holdings;;;;;;Singel;468;;1017AW;AMSTERDAM;Singel;468;;1017AW;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5353600;;Bestuurder;L.A.J.;van;Os;M;;1528;;0;N;N;3;5/31/11;5/30/11;;5/30/11;;;2012;Vastgesteld jaarstuk;Deloitte;2012;287.984.771;1.087.990;640.888.054;;;
AGI Global Holdings Coöperatief UA;508709040000;000000187763;822973807;AGI Global Holdings Coöperatief U.A.;Coöperatie;H;Ingeschreven;64301;Beleggingsinstell. in financiële activa;64302;Beleggingsinstellingen in vaste activa;;;Geactiveerd;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5214777;;Bestuurder;P.E.;;Schuch;M;;2137;;0;N;N;;9/22/10;9/21/10;;9/21/10;;;2013;Vastgesteld jaarstuk;PwC;2013;287.645.000;6.759.000;219.256.000;;;
FleuraMetz;343471200000;000019919107;820958785;FleuraMetz Holding B.V.;B.V.;H;Ingeschreven;70102;Holdings (geen financiële);6420;Financiële holdings;;;;Betula;31;VBA-Zuid;1424LH;DE KWAKEL;Postbus;1020;;1430BA;AALSMEER;Uithoorn;Noord-Holland;NL;0297;352888;www.fleurametz.com;;;;;;;1117;2-4;1;J;J;;7/3/09;7/3/09;;7/3/09;;;2013;Vastgesteld jaarstuk;Deloitte;2013;286.582.000;3.213.000;59.207.000;;;
Starbucks Manufacturing EMEA B.V.;341611320000;000017987466;810157895;Starbucks Manufacturing EMEA B.V.;B.V.;H;Ingeschreven;1083;Verwerking van koffie en thee;;;;;Geactiveerd;Accraweg;19;;1047HJ;AMSTERDAM;Postbus;58081;;1040HB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3077000;;Bestuurder;M.P.;;Fink;M;;88;1;0;N;N;;8/28/01;10/31/01;;10/31/01;10/31/01;3/4/03;2012;Vastgesteld jaarstuk;Deloitte;2012;286.217.379;1.186.096;127.985.189;;ABN AMRO;
Tata Communications (Netherlands) B.V.;342201860000;000020463006;814069903;Tata Communications (Netherlands) B.V.;B.V.;H;Ingeschreven;6190;Overige telecommunicatie;;;;;Geactiveerd;Herikerbergweg;238;Luna ArenA;1101CM;AMSTERDAM;Postbus;23393;;1100DW;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5755600;;Bestuurder;J.R.;;Freeman;M;;5;5-9;1;N;N;;1/22/09;1/24/05;;1/24/05;;3/12/12;2014;Vastgesteld jaarstuk;Berk;2014;286.051.814;2.527.552;974.252.320;;;
Vroegop Ruhe & Co. B.V.;331163000000;000011798351;001457408;Vroegop Ruhe & Co B.V.;B.V.;H;Ingeschreven;70102;Holdings (geen financiële);46311;Groothandel in groenten en fruit;4617;HB in voedings- en genotmiddelen;Geactiveerd;Jan van Galenstraat;4;C.M. S1;1051KM;AMSTERDAM;Postbus;59345;;1040KH;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6063606;;Bestuurder;P.;;Vroegop;M;;448;5-9;1;N;N;;1/13/66;12/24/65;;12/24/65;12/19/72;;2013;;KPMG;2012;284.394.436;995.414;54.936.778;;ING Bank;
KLM Catering Services Schiphol B.V.;340841700000;000019398441;802028408;KLM Catering Services Schiphol B.V.;B.V.;H;Ingeschreven;5621;Eventcatering;6420;Financiële holdings;;;Geactiveerd;Havenmeesterweg;1;;1118CB;SCHIPHOL;Postbus;75178;;1117ZS;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;6494707;www.kcs.nl;Bestuurder;J.;;Blaauw;M;;1433;1000>;1;J;J;;10/8/93;10/1/93;;10/1/93;;11/1/04;2014;;N.N.;2001;283.695.000;-854.000;;;ABN AMRO;Koninklijke Luchtvaart Maatschappij N.V.
SIHI Group B.V.;331430180000;000019394616;001847697;SIHI Group B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;J.J. Viottastraat;43;;1071JP;AMSTERDAM;J.J. Viottastraat;43;;1071JP;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5474830;;Bestuurder;E.;;Mohrdieck;M;;1678;1;1;N;N;;9/2/75;9/19/36;;9/19/36;11/15/72;10/1/13;2013;Vastgesteld jaarstuk;GrantThornton;2013;283.356.000;11.075.000;188.611.000;;ABN AMRO, Fortis Bank;
Corendon Holding B.V.;342209000000;000019979118;814366910;Corendon Holding B.V.;B.V.;H;Ingeschreven;7912;Reisorganisatie;7911;Reisbemiddeling;70222;Advisering ohgv management/bedrijfsv.;;Singaporestraat;82;;1175RA;LIJNDEN;Singaporestraat;82;;1175RA;LIJNDEN;Haarlemmermeer;Noord-Holland;NL;023;5268979;;;;;;;;195;;0;J;J;;2/4/05;2/2/05;;2/2/05;;4/1/06;2012;Vastgesteld jaarstuk;Grant Thornton;2012;282.957.385;6.788.331;32.029.055;;ABN AMRO, ING Bank;
Corendon International Travel B.V.;342209020000;000019433417;814395892;Corendon International Travel B.V.;B.V.;H;Ingeschreven;7912;Reisorganisatie;7911;Reisbemiddeling;70222;Advisering ohgv management/bedrijfsv.;;Singaporestraat;82;;1175RA;LIJNDEN;Singaporestraat;82;;1175RA;LIJNDEN;Haarlemmermeer;Noord-Holland;NL;023;5268979;www.corendon.nl;;;;;;;93;;0;J;J;;2/4/05;2/2/05;;2/2/05;;4/1/06;2013;;Grant Thornton;2012;282.410.125;4.515.768;26.326.954;;ABN AMRO, ING Bank;Corendon Holding B.V.
Advanced World Transport B.V.;342764000000;000015528197;818138567;Advanced World Transport B.V.;B.V.;H;Ingeschreven;4941;Goederenvervoer over weg (geen verhuiz.);;;;;Geactiveerd;Jachthavenweg;109;H;1081KM;AMSTERDAM;Jachthavenweg;109;H;1081KM;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5702200;;Bestuurder;T.;;Toperczer;M;;2123;;0;N;N;;6/18/07;6/11/07;;6/11/07;;12/15/08;2013;Vastgesteld jaarstuk;KPMG;2013;282.393.000;3.493.000;327.923.000;;;
British American Tobacco Exports B.V.;332354680000;000017939291;800551539;British American Tobacco Exports B.V.;B.V.;H;Ingeschreven;4635;GH tabaksproducten/rokersbenodigdheden;46217;Groothandel in ruwe tabak;70102;Holdings (geen financiële);Geactiveerd;Handelsweg;53;A;1181ZA;AMSTELVEEN;Postbus;246;;1180AE;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;5406911;;Bestuurder;M.;;Wiechers;M;;937;;1;N;N;;1/29/92;2/24/92;;2/24/92;2/24/92;11/28/05;2013;Vastgesteld jaarstuk;PwC;2013;280.881.000;-8.401.000;204.476.000;;ABN AMRO;
United European Car Carriers B.V.;332211330000;000018816851;008554948;United European Car Carriers B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64922;Volkskredietbanken/commerciële financ.;;;;Herikerbergweg;238;Luna ArenA;1101CM;AMSTERDAM;Postbus;23393;;1100DW;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5755600;;Bestuurder;A.M.;;Thyberg;M;;361;;0;N;N;;7/2/90;6/25/90;;6/25/90;;3/12/12;2013;Vastgesteld jaarstuk;PwC;2013;280.180.000;4.276.000;172.635.000;;ABN AMRO;
Staples Nederland Holding B.V.;146238840000;000016975782;007267757;Staples Nederland Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Hoogoorddreef;62;;1101BE;AMSTERDAM;Postbus;23456;;1100DZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6511111;www.buhrmann.com;Bestuurder;M.J.M.;;Haker;M;;866;100-199;1;N;N;;9/11/98;11/16/84;;11/16/84;11/16/84;9/1/98;2013;Vastgesteld jaarstuk;E&Y;2012;279.451.000;2.465.000;346.221.000;;ABN AMRO;Buhrmann II B.V.
VRC Holding B.V.;331916380000;000013746812;008600338;VRC Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64923;Participatiemaatschappijen;;;;Jan van Galenstraat;4;;1051KM;AMSTERDAM;Jan van Galenstraat;4;;1051KM;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6828866;;Bestuurder;A.;;Vroegop;M;;448;;0;N;N;6;1/14/87;12/30/86;;12/30/86;;1/1/13;2012;Vastgesteld jaarstuk;KPMG;2012;278.919.880;1.511.138;67.571.146;;;
Norgine Europe B.V.;301388170000;000014599139;805565723;Norgine Europe B.V.;B.V.;H;Ingeschreven;94993;Steunfondsen (niet ohgv welzijnszorg);;;;;;Hogehilweg;7;;1101CA;AMSTERDAM ZUIDOOST;Hogehilweg;7;;1101CA;AMSTERDAM ZUIDOOST;Amsterdam;Noord-Holland;NL;020;5670900;;Bestuurder;P.M.;;Stein;M;;1233;;0;N;N;3;2/17/00;12/17/96;;12/17/96;;2/15/00;2013;Vastgesteld jaarstuk;PwC;2013;278.195.000;-5.633.000;245.988.000;;Rabobank;
IG Markets Limited;520338130000;000022004807;850271460;IG Markets Limited.;Buitenlandse EG-vennootschap met onderneming in Ne;H;Ingeschreven;4618;HB gespecialiseerd in overige goederen;;;;;;Strawinskylaan;387;;1077XX;AMSTERDAM;Strawinskylaan;387;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;7946610;www.ig.com;Bestuurder;T.A.;;Howkins;M;;80;5-9;1;N;N;;6/14/11;6/1/00;;6/1/00;;3/15/14;2014;Buitenland;;2014;278.174.002;98.754.606;748.563.569;;;
Woonzorg Nederland;331078940000;000008477108;002955994;Stichting Woonzorg Nederland;Stichting;H;Ingeschreven;68201;Woningbouwverenigingen en -stichtingen;;;;;Geactiveerd;Prof. E.M. Meijerslaan;3;;1183AV;AMSTELVEEN;Postbus;339;;1180AH;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;6662666;www.woonzorg.nl;Bestuurder;A.T.J.M.;;Zuure;M;;423;200-499;1;N;N;42;1/31/03;12/27/50;;12/27/50;;1/1/06;2013;Vastgesteld jaarstuk;PwC;2013;277.518.000;-33.466.000;2.642.168.000;;Fortis Bank, RegioBank (SNS), ING Bank;
BSH Huishoudapparaten B.V.;331727090000;000019853521;006653789;BSH Huishoudapparaten B.V.;B.V.;H;Ingeschreven;9522;Reparatie van elekt. huishoudelijke app.;47541;Winkels in witgoed;;;Geactiveerd;Taurusavenue;36;;2132LS;HOOFDDORP;Postbus;259;;2130AG;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;088;4244444;www.bsh-group.nl;Bestuurder;C.;;Freiherr von Nagel;M;;427;200-499;1;N;N;;6/17/83;6/2/83;;6/2/83;;11/7/11;2013;Vastgesteld jaarstuk;Deloitte;2013;275.462.829;9.808.996;92.350.241;;ABN AMRO, ING Bank;
Eyeworks Holding B.V.;341593160000;000000908983;809981658;Eyeworks Holding B.V.;B.V.;H;Ingeschreven;70102;Holdings (geen financiële);59112;Productie van televisieprogramma's;7490;Overige special. zakelijke dienstverl.;Geactiveerd;Raamplein;1;;1016XK;AMSTERDAM;Raamplein;1;;1016XK;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3463700;www.eyeworks.tv;Bestuurder;J.P.C.;;Kerstens;M;;1352;20-49;1;N;N;;7/17/01;10/18/01;;10/18/01;10/18/01;7/1/13;2013;Vastgesteld jaarstuk;KPMG;2013;274.288.000;16.552.000;219.785.000;;;
Eva Capital B.V.;514486100000;000021477299;850021649;Eva Capital B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;De Boelelaan;7;;1083HJ;AMSTERDAM;De Boelelaan;7;;1083HJ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5043800;;Bestuurder;F.A.P.;;Fouletier;M;;3611;;0;N;N;;12/10/10;12/10/10;;12/10/10;;;2014;Vastgesteld jaarstuk;Deloitte;2014;272.420.000;5.141.000;371.012.000;;;Lisa Capital Coöperatief UA
Hunkemöller International B.V.;514629310000;000021490783;850030195;Hunkemöller International B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;47716;Winkels in onderkleding, foundations ed.;;;Geactiveerd;Liebergerweg;28;;1221JS;HILVERSUM;Liebergerweg;28;;1221JS;HILVERSUM;Hilversum;Noord-Holland;NL;035;6465588;;Bestuurder;P.F.;;Mountford;M;;3611;;0;N;N;;6/29/11;12/14/10;;12/14/10;;6/26/11;2014;Vastgesteld jaarstuk;Deloitte;2013;272.420.000;-2.606.000;375.329.000;;;Lisa Capital Coöperatief UA
Lisa Capital Coöperatief UA;513804710000;000021418152;823258774;Lisa Capital Coöperatief U.A.;Coöperatie;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;De Boelelaan;7;;1083HJ;AMSTERDAM;De Boelelaan;7;;1083HJ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5043800;;Bestuurder;F.A.P.;;Fouletier;M;;3611;;0;N;N;2;11/30/10;11/29/10;;11/29/10;;;2014;Vastgesteld jaarstuk;Deloitte;2014;272.420.000;-2.279.000;378.040.000;;;
SMARTRAC N.V.;342413450000;000007980388;815284858;SMARTRAC N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Strawinskylaan;851;;1077XX;AMSTERDAM;Strawinskylaan;851;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3050150;;Bestuurder;R.;;Harmzen;M;;3383;10-19;1;N;N;3;1/26/06;1/23/06;;1/23/06;;6/1/07;2013;Vastgesteld jaarstuk;KPMG;2013;272.081.000;14.652.000;332.910.000;;;
Sita Information Networking Computing B.V.;341234430000;000018008976;808699118;Sita Information Networking Computing B.V.;B.V.;H;Ingeschreven;6202;Advisering ohgv informatietechnologie;;;;;Geactiveerd;Heathrowstraat;10;;1043CH;AMSTERDAM;Heathrowstraat;10;;1043CH;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6069100;www.sita.aero;Bestuurder;F.;;Violante;M;;1345;20-49;1;N;N;;11/10/99;11/5/99;;11/5/99;;;2014;;Deloitte;2012;270.799.895;14.195.968;377.768.447;;ABN AMRO;SITA N.V.
Baarsma Wine Group Holding B.V.;011101160000;000017548977;814913234;Baarsma Wine Group Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Zwaardklamp;14;;1271GK;HUIZEN;Zwaardklamp;14;;1271GK;HUIZEN;Huizen;Noord-Holland;NL;035;6261270;www.baarsma.com;Bestuurder;R.J.;;Bergervoet;M;;372;;0;N;N;;3/31/09;9/7/05;;9/7/05;;6/20/13;2014;Vastgesteld jaarstuk;Deloitte;2013;270.787.000;-2.905.000;133.339.000;;;Veenwijk Holding B.V.
Veenwijk Holding B.V.;342660740000;000020227477;817560336;Veenwijk Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Zwaardklamp;14;;1271GK;HUIZEN;Zwaardklamp;14;;1271GK;HUIZEN;Huizen;Noord-Holland;NL;035;6261270;;Bestuurder;R.J.;;Bergervoet;M;;372;;0;N;N;17;3/31/09;2/1/07;;2/1/07;;6/20/13;2014;Vastgesteld jaarstuk;Deloitte;2014;270.787.000;-5.455.000;164.082.000;;;
Stichting Int. Dispensary Association;331709050000;000010277897;002956184;Stichting International Dispensary Association;Stichting;H;Ingeschreven;46461;Groothandel in farmaceutische producten;;;;;;Slochterweg;35;;1027AA;AMSTERDAM;Postbus;37098;;1030AB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;4033051;www.idafoundation.org;Bestuurder;E.J.;de;Voogd;M;;162;100-199;1;N;N;5;1/18/83;11/21/72;;11/21/72;;11/21/82;2013;Vastgesteld jaarstuk;BDO;2013;270.374.000;3.491.000;314.684.000;;ABN AMRO, ING Bank;
Cementbouw B.V.;230451530000;000018475914;001241990;Cementbouw B.V.;B.V.;H;Ingeschreven;64301;Beleggingsinstell. in financiële activa;;;;;Geactiveerd;Bennebroekerdijk;244;;2142LE;CRUQUIUS;Postbus;567;;2100AN;HEEMSTEDE;Haarlemmermeer;Noord-Holland;NL;023;5481481;;Bestuurder;M.;;Witjes;M;;637;1;0;N;N;;6/24/99;11/6/70;;11/6/70;11/10/71;7/18/03;2013;;KPMG;2006;269.767.000;-63.208.000;328.840.000;;ABN AMRO;CRH International B.V.
Aegis Media Nederland;332026650000;000018485510;008632303;Dentsu Aegis Network Netherlands B.V.;B.V.;H;Ingeschreven;7311;Reclamebureaus;78202;Uitleenbureaus;;;Geactiveerd;Moermanskkade;85;;1013BC;AMSTERDAM;Postbus;15905;;1001NK;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5191700;www.aemedia.com;Bestuurder;J.J.;;Minnaar;M;;289;20-49;1;N;N;;4/6/88;12/20/88;;12/20/88;12/20/88;2/1/12;2013;Vastgesteld jaarstuk;Deloitte;2013;269.621.059;-770.951;113.668.451;;ABN AMRO;
Tate & Lyle Netherlands B.V.;350146240000;000020292457;004614835;Tate & Lyle Netherlands B.V.;B.V.;H;Ingeschreven;1062;Verv. zetmeel en zetmeelproducten;;;;;;Lagendijk;5;;1541KA;KOOG AAN DE ZAAN;Postbus;170;;1540AD;KOOG AAN DE ZAAN;Zaanstad;Noord-Holland;NL;075;6532111;www.tateandlyle.com;Bestuurder;C.J.;;Lommelaars;M;;224;200-499;1;N;J;;6/7/78;6/2/78;;6/2/78;6/2/78;;2014;Vastgesteld jaarstuk;PwC;2014;267.248.208;-9.287.028;109.496.421;;ABN AMRO, Fortis Bank;
Sanoma Image B.V.;524739290000;000022397442;850462125;Sanoma Image B.V.;B.V.;H;Ingeschreven;70221;Organisatie-adviesbureaus;;;;;Geactiveerd;Rietlandpark;333;;1019DW;AMSTERDAM;Postbus;18179;;1001ZB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;8007000;;Bestuurder;A.H.T.;;Kreuzen;M;;515;2-4;1;N;N;10;4/7/11;4/6/11;;4/6/11;;1/1/12;2013;Vastgesteld jaarstuk;KPMG;2013;266.926.000;-178.314.000;900.013.000;;;
1. H.k. Amstelring Grp2. OsiraGrp3. Amstelr.4;332991710056;000008912734;807146250;Stichting Amstelring Groep;Stichting;H;Ingeschreven;86929;Samenwerkingsorganen ohgv gez.zorg;;;;;Geactiveerd;Nachtwachtlaan;20;;1058EA;AMSTERDAM;Postbus;9225;;1006AE;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;7560000;www.osira-amstelring.nl;Bestuurder;I.E.;;Borghuis Ook Genaamd op de Borg;V;;3423;;0;N;N;6;8/9/11;12/9/97;;12/9/97;2/25/11;;;;PwC;2013;266.630.000;-3.682.000;131.561.000;;;
E D & F Man Molasses B.V.;242914290000;000016876571;807854918;E D & F Man Molasses B.V.;B.V.;H;Ingeschreven;4639;GH voedings-/genotmiddelen algemeen ass.;;;;;Geactiveerd;De Ruijterkade;6;6e etage;1013AA;AMSTERDAM;Postbus;15817;;1001NH;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;7540111;www.manmolasses.com;Bestuurder;G.A.;van der;Spek;M;;;;1;J;J;;12/22/08;1/26/99;;1/26/99;;12/22/08;2013;Vastgesteld jaarstuk;E&Y;2013;266.250.932;12.206.548;60.031.551;;;
Monarchy Enterprises Holdings B.V.;242499390000;000000879568;802503585;Monarchy Enterprises Holdings B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Rapenburgerstraat;175;I;1011VM;AMSTERDAM;Rapenburgerstraat;175;I;1011VM;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;8906931;;Bestuurder;G.F.;;Nicolaï;M;;;;0;N;N;;5/14/04;8/6/93;;8/6/93;;10/1/12;2012;Vastgesteld jaarstuk;E&Y;2012;266.077.100;50.665.846;290.957.588;;;
PontMeyer N.V.;370775700000;000005465451;001360772;PontMeyer N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Symon Spiersweg;17;;1506RZ;ZAANDAM;Postbus;2073;;1500GB;ZAANDAM;Zaanstad;Noord-Holland;NL;075;6536262;;Bestuurder;A.J.;;Schouten;M;;675;;0;N;N;15;10/20/00;8/19/18;;8/19/18;;6/8/00;2013;Vastgesteld jaarstuk;PwC;2013;263.835.000;60.000;152.732.000;;ABN AMRO;
International Blade Handling B.V.;342380640000;000017231582;815140009;International Blade Handling B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Hemonystraat;11;;1074BK;AMSTERDAM;Postbus;1108;;1000BC;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6163141;;;;;;;;2855;;0;N;N;;12/15/05;12/28/05;;12/28/05;12/28/05;2/1/13;2013;Vastgesteld jaarstuk;HLB Nannen;2013;263.802.201;4.499.836;177.820.194;;;
Eriks B.V.;370502770000;000016781600;007282199;Eriks B.V.;B.V.;H;Ingeschreven;46694;GH appendages/technische toebehoren e.d.;2814;Vervaardiging van appendages;;;Geactiveerd;Toermalijnstraat;5;;1812RL;ALKMAAR;Postbus;280;;1800BK;ALKMAAR;Alkmaar;Noord-Holland;NL;072;5141514;www.eriks.nl;Bestuurder;P.M.;;Vos;M;;940;200-499;1;J;J;;1/21/85;12/31/84;;12/31/84;12/31/84;4/1/05;2013;Vastgesteld jaarstuk;PwC;2013;263.767.000;23.680.000;94.316.000;;ABN AMRO, ING Bank;SHV Holdings N.V.
Marktplaats B.V.;280587120000;000020143184;803603307;Marktplaats B.V.;B.V.;H;Ingeschreven;4741;Winkels in computers/randapp./software;;;;;Geactiveerd;Wibautstraat;224;;1097DN;AMSTERDAM;Wibautstraat;224;;1097DN;AMSTERDAM;Amsterdam;Noord-Holland;NL;;;;Bestuurder;A.D.J.;;Green;M;;204;;1;N;N;;1/7/09;12/11/95;;12/11/95;12/11/95;1/1/09;2013;Vastgesteld jaarstuk;PwC;2013;262.811.000;8.195.000;211.561.000;;ABN AMRO;
Stora Enso Amsterdam B.V.;330569230000;000016565312;002185064;Stora Enso Amsterdam B.V.;B.V.;H;Ingeschreven;46762;Groothandel in papier en karton;64923;Participatiemaatschappijen;;;;Arena boulevard;83;;1101DM;AMSTERDAM;Postbus;12386;;1100AJ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6505555;;Bestuurder;G.H.J.;;Roode;M;;18;20-49;1;N;N;;12/19/41;8/1/56;;8/1/56;1/22/73;1/1/14;2012;Vastgesteld jaarstuk;Deloitte;2012;261.526.000;44.485.000;1.555.042.000;;ABN AMRO;
MVM Resources International B.V.;503056890000;000021103062;822932878;MVM Resources International B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Herikerbergweg;238;Luna ArenA;1101CM;AMSTERDAM;Postbus;23393;;1100DW;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5755600;;Bestuurder;M.G.;;Fenelon;M;;788;;0;N;N;;7/1/10;6/30/10;;6/30/10;;3/12/12;2013;Vastgesteld jaarstuk;PwC;2013;259.303.370;12.977.589;530.346.292;;;
Krasnapolsky Hotels & Restaurants N.V.;330006390000;000019258399;001412802;Krasnapolsky Hotels & Restaurants N.V.;N.V.;H;Ingeschreven;55101;Hotel-restaurants;70102;Holdings (geen financiële);;;Geactiveerd;Noorderweg;68;1;1221AB;HILVERSUM;Postbus;619;;1200AP;HILVERSUM;Hilversum;Noord-Holland;NL;035;6299299;;Bestuurder;R.;;Chollet Ibarra;M;;2321;;1;N;N;;2/24/00;29-12-1881;;29-12-1881;;1/1/13;2013;Vastgesteld jaarstuk;Deloitte;2013;258.603.000;16.917.000;593.489.000;;ABN AMRO, ING Bank;NH Hoteles Participaties N.V.
PaperlinX Netherlands B.V.;080718270000;000017836441;001476695;PaperlinX Netherlands B.V.;B.V.;H;Ingeschreven;46762;Groothandel in papier en karton;;;;;;Stammerkamp;1;;1112VE;DIEMEN;Postbus;5;;1110AA;DIEMEN;Diemen;Noord-Holland;NL;020;5650700;www.paperlinx.eu.com;Bestuurder;J.W.P.;;Smallenbroek;M;;549;20-49;1;J;J;;10/3/03;12/3/53;;12/3/53;8/16/72;3/22/13;2014;Vastgesteld jaarstuk;KPMG;2013;258.063.000;-12.856.000;118.086.000;;ABN AMRO;PaperlinX Holdings Coöperatieve UA
