Link;KvK/ID;Vestnr;RSIN;Vennootschapsnaam;Rechtsvorm;Hoofd/Neven;Status;SBI Hoofdact;Omschrijving (hoofdact);SBI Nevenact1;Omschrijving (nevenact1);SBI Nevenact2;Omschrijving (nevenact2);Non-Mailing;Straatnaam;Huisnr;Toevoeging huisnr;Postcode;Woonplaats;Straatnaam CA;Huisnr CA;Toevoeg huisnr CA;Postcode CA;Woonplaats CA;Gemeente;Provincie;Landcode;Tel. Netnr.;Tel. Abnnr.;Domeinnaam;Functie;Voorletters;Voorvoegsels;Achternaam;Sexe;Mobiel Nr.;Employees;Werknemers;Econ. Actief;Import;Export;Aantal Dochters;Datum Inschrijving;Datum akte oprichting;Datum opheffing;Datum oprichting;Datum voortzetting;Huidig adres;Dep. jaarstuk;Soort jaarstuk;Auditor;YearTPE;Turnover (€);Profit (€);Total assets (€);Stock exchange;Banks;Ultimate (Dutch) Parent
Park Hotel B.V.;342362130000;000015475506;815030381;Park Hotel B.V.;B.V.;H;Ingeschreven;55101;Hotel-restaurants;;;;;;Stadhouderskade;25;;1071ZD;AMSTERDAM;Stadhouderskade;25;;1071ZD;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6711222;www.parkhotel.nl;Bestuurder;A.;van der;Hoek;M;;131;50-99;1;N;N;;11/9/05;11/7/05;;11/7/05;;4/10/06;2012;Vastgesteld jaarstuk;;2012;16.856.000;193.000;4.591.000;;;Blue Hotels Property B.V.
Puig Nederland B.V.;273645720000;000020089074;821606359;Puig Nederland B.V.;B.V.;H;Ingeschreven;4645;Groothandel in parfums en cosmetica;6420;Financiële holdings;;;;Polarisavenue;1;Gebouw C, be;2132JH;HOOFDDORP;Polarisavenue;1;Gebouw C, be;2132JH;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;0252;425124;;Bestuurder;F.X.H.;;Billaud;M;;19;10-19;1;J;N;;1/10/14;12/23/09;;12/23/09;;1/1/14;2013;Vastgesteld jaarstuk;E&Y;2013;16.853.999;799.001;5.432.927;;;
Stichting Centrum Wiskunde & Informatica;411987310000;;002953390;Stichting Centrum Wiskunde & Informatica;Stichting;;Ingeschreven;7220;Speur-/ontw.werk ogv maats./geesteswet.;;;;;;Science Park;123;;1098XG;AMSTERDAM;Postbus;94079;;1090GB;AMSTERDAM;Amsterdam;Noord-Holland;NL;;;;;;;;;;186;100-199;1;;;;11/28/78;;;2/11/46;;;;;PwC;2013;16.853.109;493.571;49.468.523;;ABN AMRO, Rabobank, ING Bank;
William Schrikker Stichting Pleegzorg;412127070000;;802454860;William Schrikker Stichting Pleegzorg;Stichting;;Ingeschreven;86104;Geestelijke gez.-/versl.zorg met overn.;;;;;;Bijlmerdreef;101;;1102BP;AMSTERDAM;Postbus;12685;;1100AR;AMSTERDAM;Amsterdam;Noord-Holland;NL;;;;;;;;;;78;50-99;1;;;;6/14/93;6/8/93;;6/8/93;;;;;;2012;16.828.452;-496.492;3.923.199;;;
Stichting Metro Pensioenfonds;411794630001;000015184145;002884100;Stichting Metro Pensioenfonds;Stichting;H;Ingeschreven;64303;Beleggingsinst. met beperkte toetreding;;;;;;Spaklerweg;52;;1114AE;AMSTERDAM-DUIVENDRECHT;Postbus;571;;2900AN;CAPELLE AAN DEN IJSSEL;Ouder-Amstel;Noord-Holland;NL;088;1308215;;Bestuurder;P.;;Dijkstra;M;;;5-9;0;N;N;;12/5/07;12/17/69;;12/17/69;;1/1/14;2013;Vastgesteld jaarstuk;KPMG;2013;16.821.000;32.091.000;377.100.000;;;
Stichting Pensioenfonds Transavia Vliegers;412235810000;;809879372;Stichting Pensioenfonds Transavia Vliegers;Stichting;;Ingeschreven;65302;Ondernemingspensioen-/spaarfondsen;;;;;;Piet Guilonardweg;15;;1117EE;SCHIPHOL;Postbus;7777;;1118ZM;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;;;;;;;;;;;;0;;;;9/2/82;;;8/24/82;;;2013;Vastgesteld jaarstuk;KPMG;2013;16.783.738;-3.779.403;373.096.999;;;
Eden Hotel Exploitatie B.V.;332787860000;000017567793;805037597;Eden Hotel Exploitatie B.V.;B.V.;H;Ingeschreven;55102;Hotels (geen hotel-rest.)/pens./conf.o.;5630;Cafés;;;;Amstel;144;;1017AE;AMSTERDAM;Postbus;7942;;1008AC;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5307878;;;;;;;;75;50-99;1;N;N;;3/26/96;3/4/96;;3/4/96;;1/1/09;2013;Vastgesteld jaarstuk;PwC;2013;16.770.778;1.954.004;16.440.632;;Rabobank;Eden Hampshire
Sorin Group Nederland N.V.;332019120000;000019971729;008007081;Sorin Group Nederland N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;64923;Participatiemaatschappijen;46462;GH med./tandheelk.instr./verpl.art. e.d.;Geactiveerd;Paasheuvelweg;1;;1105BE;AMSTERDAM;Postbus;12060;;1100AB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3113211;;Bestuurder;D.;;Mauro;M;;24;10-19;1;N;N;;2/22/88;1/4/88;;1/4/88;;10/14/08;2013;Vastgesteld jaarstuk;PwC;2013;16.767.000;-84.000;23.837.000;;;
Stichting Pensioenfonds Sanoma Nederland;341684370000;000005535239;811036194;Stichting Pensioenfonds Sanoma Nederland;Stichting;H;Ingeschreven;64303;Beleggingsinst. met beperkte toetreding;;;;;;Capellalaan;65;;2132JL;HOOFDDORP;Postbus;1900;;2130JH;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;023;5565921;;Bestuurder;P.;;Mannaert;M;;;1;0;N;N;;3/18/04;12/31/01;;12/31/01;;;2013;Vastgesteld jaarstuk;E&Y;2013;16.760.000;7.051.423;442.280.111;;;
SonicWALL B.V.;271862690000;000020590512;808631500;SonicWALL B.V.;B.V.;H;Ingeschreven;4651;GH computers, randapparatuur en software;;;;;;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Postbus;990;;1000AZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5214777;;Bestuurder;R.B.;;Knauff;M;;12;5-9;1;N;N;;5/13/05;1/31/00;;1/31/00;;3/30/05;2012;Vastgesteld jaarstuk;EDO Registeraccountants en Belastin;2012;16.723.059;-648.280;4.334.018;;ABN AMRO;
